Label, CenterX(mils) from left corner, CenterY(mils) from left corner, Radius(mils), Suitable for Bellatrix team?
257, 4039.6800000000003, 1786.88, 16.191885986328124, No
258, 3947.52, 1786.88, 16.191885986328124, No
259, 3845.12, 1786.88, 16.191885986328124, No
260, 3747.84, 1792.0, 20.48102294921875, No
261, 2350.08, 1699.8400000000001, 15.361024169921876, No
262, 2247.68, 1704.96, 16.191885986328124, No
263, 2145.28, 1704.96, 16.191885986328124, No
264, 2048.0, 1704.96, 15.361024169921876, No
265, 1950.72, 1704.96, 16.191885986328124, No
266, 1848.32, 1704.96, 16.191885986328124, No
267, 4039.6800000000003, 1689.6000000000001, 15.361024169921876, No
268, 3845.12, 1694.72, 16.191885986328124, No
269, 3747.84, 1689.6000000000001, 20.48102294921875, No
270, 3650.56, 1694.72, 16.191885986328124, No
271, 3548.16, 1694.72, 16.191885986328124, No
272, 3445.76, 1694.72, 16.191885986328124, No
273, 3353.6, 1694.72, 16.191885986328124, No
274, 3251.2000000000003, 1694.72, 16.191885986328124, No
275, 3148.8, 1694.72, 16.191885986328124, No
276, 3056.64, 1694.72, 16.191885986328124, No
277, 2954.2400000000002, 1694.72, 16.191885986328124, No
278, 2851.84, 1694.72, 16.191885986328124, No
279, 2749.44, 1694.72, 16.191885986328124, No
280, 2652.16, 1699.8400000000001, 20.48102294921875, No
281, 2549.76, 1699.8400000000001, 20.48102294921875, No
282, 2447.36, 1699.8400000000001, 20.48102294921875, No
283, 4336.64, 1684.48, 16.191885986328124, No
284, 4234.24, 1684.48, 16.191885986328124, No
285, 4142.08, 1684.48, 16.191885986328124, No
286, 3942.4, 1689.6000000000001, 20.48102294921875, No
287, 2452.48, 1602.56, 16.191885986328124, No
288, 2350.08, 1602.56, 16.191885986328124, No
289, 2247.68, 1602.56, 16.191885986328124, No
290, 2145.28, 1602.56, 16.191885986328124, No
291, 2048.0, 1602.56, 15.361024169921876, No
292, 1950.72, 1602.56, 16.191885986328124, No
293, 1848.32, 1602.56, 16.191885986328124, No
294, 4234.24, 1587.2, 15.361024169921876, No
295, 4142.08, 1592.32, 16.191885986328124, No
296, 4039.6800000000003, 1592.32, 16.191885986328124, No
297, 3947.52, 1592.32, 16.191885986328124, No
298, 3845.12, 1592.32, 16.191885986328124, No
299, 3742.7200000000003, 1592.32, 16.191885986328124, No
300, 3650.56, 1592.32, 16.191885986328124, No
301, 3548.16, 1592.32, 16.191885986328124, No
302, 3445.76, 1592.32, 16.191885986328124, No
303, 3353.6, 1592.32, 16.191885986328124, No
304, 3251.2000000000003, 1592.32, 16.191885986328124, No
305, 3148.8, 1592.32, 16.191885986328124, No
306, 3046.4, 1592.32, 16.191885986328124, No
307, 2954.2400000000002, 1592.32, 16.191885986328124, No
308, 2851.84, 1592.32, 16.191885986328124, No
309, 2749.44, 1592.32, 16.191885986328124, No
310, 2652.16, 1597.44, 20.48102294921875, No
311, 2549.76, 1597.44, 20.48102294921875, No
312, 4331.52, 1587.2, 20.48102294921875, No
313, 2749.44, 1500.16, 16.191885986328124, No
314, 2647.04, 1500.16, 16.191885986328124, No
315, 2549.76, 1495.04, 20.48102294921875, No
316, 2452.48, 1500.16, 16.191885986328124, No
317, 2350.08, 1500.16, 16.191885986328124, No
318, 2247.68, 1500.16, 16.191885986328124, No
319, 2145.28, 1500.16, 16.191885986328124, No
320, 2042.88, 1500.16, 16.191885986328124, No
321, 1945.6000000000001, 1500.16, 15.361024169921876, No
322, 1848.32, 1500.16, 16.191885986328124, No
323, 4336.64, 1489.92, 16.191885986328124, No
324, 4234.24, 1489.92, 16.191885986328124, No
325, 4142.08, 1489.92, 16.191885986328124, No
326, 4039.6800000000003, 1489.92, 16.191885986328124, No
327, 3942.4, 1489.92, 15.361024169921876, No
328, 3845.12, 1489.92, 16.191885986328124, No
329, 3742.7200000000003, 1489.92, 16.191885986328124, No
330, 3650.56, 1489.92, 16.191885986328124, No
331, 3548.16, 1489.92, 16.191885986328124, No
332, 3445.76, 1489.92, 16.191885986328124, No
333, 3353.6, 1489.92, 16.191885986328124, No
334, 3251.2000000000003, 1489.92, 16.191885986328124, No
335, 3148.8, 1489.92, 16.191885986328124, No
336, 3051.52, 1495.04, 20.48102294921875, No
337, 2954.2400000000002, 1489.92, 16.191885986328124, No
338, 2851.84, 1489.92, 16.191885986328124, No
339, 3148.8, 1392.64, 15.361024169921876, No
340, 2851.84, 1397.76, 16.191885986328124, No
341, 2749.44, 1397.76, 16.191885986328124, No
342, 2647.04, 1397.76, 16.191885986328124, No
343, 2544.64, 1397.76, 16.191885986328124, No
344, 2452.48, 1397.76, 16.191885986328124, No
345, 2350.08, 1397.76, 16.191885986328124, No
346, 2247.68, 1397.76, 16.191885986328124, No
347, 2145.28, 1397.76, 16.191885986328124, No
348, 2042.88, 1397.76, 16.191885986328124, No
349, 1945.6000000000001, 1397.76, 15.361024169921876, No
350, 1848.32, 1397.76, 16.191885986328124, No
351, 4331.52, 1387.52, 15.361024169921876, No
352, 4234.24, 1387.52, 16.191885986328124, No
353, 4136.96, 1387.52, 15.361024169921876, No
354, 4039.6800000000003, 1387.52, 16.191885986328124, No
355, 3942.4, 1387.52, 15.361024169921876, No
356, 3845.12, 1387.52, 16.191885986328124, No
357, 3742.7200000000003, 1387.52, 16.191885986328124, No
358, 3650.56, 1387.52, 16.191885986328124, No
359, 3548.16, 1387.52, 16.191885986328124, No
360, 3445.76, 1387.52, 16.191885986328124, No
361, 3353.6, 1387.52, 16.191885986328124, No
362, 3251.2000000000003, 1387.52, 16.191885986328124, No
363, 3051.52, 1392.64, 20.48102294921875, No
364, 2949.12, 1392.64, 20.48102294921875, No
365, 3251.2000000000003, 1295.3600000000001, 16.191885986328124, No
366, 3148.8, 1295.3600000000001, 16.191885986328124, No
367, 3046.4, 1295.3600000000001, 16.191885986328124, No
368, 2944.0, 1295.3600000000001, 16.191885986328124, No
369, 2851.84, 1295.3600000000001, 16.191885986328124, No
370, 2749.44, 1295.3600000000001, 16.191885986328124, No
371, 2647.04, 1295.3600000000001, 16.191885986328124, No
372, 2544.64, 1295.3600000000001, 16.191885986328124, No
373, 2447.36, 1295.3600000000001, 15.361024169921876, No
374, 2350.08, 1295.3600000000001, 16.191885986328124, No
375, 2247.68, 1295.3600000000001, 16.191885986328124, No
376, 2145.28, 1295.3600000000001, 16.191885986328124, No
377, 2042.88, 1295.3600000000001, 16.191885986328124, No
378, 1940.48, 1295.3600000000001, 16.191885986328124, No
379, 1848.32, 1295.3600000000001, 16.191885986328124, No
380, 4326.4, 1285.1200000000001, 16.191885986328124, No
381, 4234.24, 1285.1200000000001, 16.191885986328124, No
382, 4136.96, 1285.1200000000001, 15.361024169921876, No
383, 4039.6800000000003, 1285.1200000000001, 16.191885986328124, No
384, 3937.28, 1285.1200000000001, 16.191885986328124, No
385, 3845.12, 1285.1200000000001, 16.191885986328124, No
386, 3742.7200000000003, 1285.1200000000001, 16.191885986328124, No
387, 3650.56, 1285.1200000000001, 16.191885986328124, No
388, 3548.16, 1285.1200000000001, 16.191885986328124, No
389, 3450.88, 1290.24, 20.48102294921875, No
390, 3348.48, 1290.24, 20.48102294921875, No
391, 3742.7200000000003, 1187.84, 15.361024169921876, No
392, 3548.16, 1192.96, 16.191885986328124, No
393, 3445.76, 1192.96, 16.191885986328124, No
394, 3343.36, 1192.96, 16.191885986328124, No
395, 3251.2000000000003, 1192.96, 16.191885986328124, No
396, 3148.8, 1192.96, 16.191885986328124, No
397, 3046.4, 1192.96, 16.191885986328124, No
398, 2944.0, 1192.96, 16.191885986328124, No
399, 2851.84, 1192.96, 16.191885986328124, No
400, 2749.44, 1192.96, 16.191885986328124, No
401, 2647.04, 1192.96, 16.191885986328124, No
402, 2544.64, 1192.96, 16.191885986328124, No
403, 2442.2400000000002, 1192.96, 16.191885986328124, No
404, 2350.08, 1192.96, 16.191885986328124, No
405, 2247.68, 1192.96, 16.191885986328124, No
406, 2145.28, 1192.96, 16.191885986328124, No
407, 2042.88, 1192.96, 16.191885986328124, No
408, 1940.48, 1192.96, 16.191885986328124, No
409, 1838.08, 1192.96, 16.191885986328124, No
410, 4326.4, 1182.72, 16.191885986328124, No
411, 4234.24, 1182.72, 16.191885986328124, No
412, 4131.84, 1182.72, 16.191885986328124, No
413, 4039.6800000000003, 1182.72, 16.191885986328124, No
414, 3937.28, 1182.72, 16.191885986328124, No
415, 3845.12, 1182.72, 16.191885986328124, No
416, 3645.44, 1187.84, 20.48102294921875, No
417, 1838.08, 1095.68, 15.361024169921876, No
418, 4326.4, 1085.44, 15.361024169921876, No
419, 4234.24, 1090.56, 16.191885986328124, No
420, 4131.84, 1090.56, 16.191885986328124, No
421, 4039.6800000000003, 1090.56, 16.191885986328124, No
422, 3937.28, 1090.56, 16.191885986328124, No
423, 3845.12, 1090.56, 16.191885986328124, No
424, 3742.7200000000003, 1090.56, 16.191885986328124, No
425, 3640.32, 1090.56, 16.191885986328124, No
426, 3548.16, 1090.56, 16.191885986328124, No
427, 3445.76, 1090.56, 16.191885986328124, No
428, 3343.36, 1090.56, 16.191885986328124, No
429, 3251.2000000000003, 1090.56, 16.191885986328124, No
